entity e1,entity e2,ddi,pair type
corticosteroid,ACTH,false,
corticosteroid,Betaseron,false,
ACTH,Betaseron,false,
Betaseron,antipyrine,true,mechanism
Betaseron,Betaseron,false,
antipyrine,Betaseron,false,
contortrostatin,echistatin,false,
contortrostatin,flavoridin,false,
echistatin,flavoridin,false,
Echistatin,contortrostatin,true,effect
Flavoridin,contortrostatin,true,effect
allopurinol,ampicillin,true,effect
allopurinol,ampicillin,false,
ampicillin,ampicillin,false,
ampicillin,allopurinol,true,effect
AUGMENTIN XR,allopurinol,false,
AUGMENTIN XR,AUGMENTIN XR,false,
allopurinol,AUGMENTIN XR,false,
broad-spectrum antibiotics,AUGMENTIN XR,false,
broad-spectrum antibiotics,contraceptives,true,effect
AUGMENTIN XR,contraceptives,true,effect
HUMORSOL,succinylcholine,true,int
HUMORSOL,anticholinesterase agents,true,int
succinylcholine,anticholinesterase agents,false,
gliftor,"1,3-difluoroacetone",false,
gliftor,(-)-erythro-fluorocitrate,false,
"1,3-difluoroacetone",(-)-erythro-fluorocitrate,false,
"1,3-difluoroacetone",Gliftor,false,
"1,3-difluoroacetone","1,3-difluoro-2-propanol",false,
Gliftor,"1,3-difluoro-2-propanol",false,
(-)-erythro-fluorocitrate,"1,3-difluoro-2-propanol",false,
"1,3-difluoro-2-propanol","1,3-difluoroacetone",false,
"1,3-difluoro-2-propanol",(-)-erythro-fluorocitrate,false,
"1,3-difluoro-2-propanol","1,3-difluoro-2-propanol",false,
4-methylpyrazole,"1,3-difluoro-2-propanol",true,effect
4-methylpyrazole,(-)-erythro-fluorocitrate,false,
4-methylpyrazole,"1,3-difluoro-2-propanol",false,
4-methylpyrazole,"1,3-difluoroacetone",false,
central nervous system depressants,benzodiazepines,false,
ROMAZICON,narcotics,false,
ROMAZICON,anesthetics,false,
ROMAZICON,muscle relaxants,false,
narcotics,anesthetics,false,
narcotics,muscle relaxants,false,
anesthetics,muscle relaxants,false,
ROMAZICON,cyclic antidepressants,true,effect
ROMAZICON,benzodiazepine,false,
ROMAZICON,flumazenil,false,
cyclic antidepressants,benzodiazepine,false,
cyclic antidepressants,flumazenil,false,
benzodiazepine,flumazenil,false,
ROMAZICON,benzodiazepine,true,effect
ROMAZICON,benzodiazepines,true,effect
zopiclone,ROMAZICON,true,effect
benzodiazepines,flumazenil,false,
ethanol,flumazenil,false,
ROMAZICON,long-acting benzodiazepine,false,
long-acting benzodiazepines,diazepam,false,
long-acting benzodiazepines,short-acting benzodiazepines,false,
long-acting benzodiazepines,midazolam,false,
diazepam,short-acting benzodiazepines,false,
diazepam,midazolam,false,
short-acting benzodiazepines,midazolam,false,
benzodiazepines,benzodiazepine,false,
benzodiazepines,alcohol,false,
benzodiazepines,sedative,false,
benzodiazepines,ROMAZICON,false,
benzodiazepine,alcohol,false,
benzodiazepine,sedative,false,
benzodiazepine,ROMAZICON,false,
alcohol,sedative,false,
alcohol,ROMAZICON,false,
sedative,ROMAZICON,false,
desloratadine,erythromycin,false,
desloratadine,ketoconazole,false,
erythromycin,ketoconazole,false,
desloratadine,azithromycin,false,
desloratadine,fluoxetine,false,
desloratadine,cimetidine,false,
azithromycin,fluoxetine,false,
azithromycin,cimetidine,false,
fluoxetine,fluoxetine,false,
fluoxetine,cimetidine,false,
desloratadine,3-hydroxydesloratadine,false,
desloratadine,desloratadine,false,
3-hydroxydesloratadine,desloratadine,false,
Desloratadine,3-Hydroxydesloratadine,false,
Amphotericin B,potassium-depleting diuretics,false,
Amphotericin B,benzothiadiazines,false,
Amphotericin B,ethacrynic acid,false,
Amphotericin B,furosemide,false,
potassium-depleting diuretics,benzothiadiazines,false,
potassium-depleting diuretics,ethacrynic acid,false,
potassium-depleting diuretics,furosemide,false,
benzothiadiazines,ethacrynic acid,false,
benzothiadiazines,furosemide,false,
ethacrynic acid,furosemide,false,
Digitalis glycosides,digitalis,false,
Antidiabetic drugs,insulin,false,
salicylate,steroids,false,
salicylate,aspirin,false,
steroids,aspirin,true,effect
Barbiturates,phenytoin,false,
Barbiturates,rifampin,false,
Barbiturates,fludrocortisone acetate,true,mechanism
phenytoin,rifampin,false,
phenytoin,fludrocortisone acetate,true,mechanism
rifampin,fludrocortisone acetate,true,mechanism
steroid,steroid,false,
Anabolic steroids,androgens,false,
Anabolic steroids,oxymetholone,false,
Anabolic steroids,methandrostenolone,false,
Anabolic steroids,norethandrolone,false,
androgens,oxymetholone,false,
androgens,methandrostenolone,false,
androgens,norethandrolone,false,
oxymetholone,methandrostenolone,false,
oxymetholone,norethandrolone,false,
methandrostenolone,norethandrolone,false,
estrogen,corticosteroid,false,
estrogen,estrogen,false,
corticosteroid,estrogen,false,
PEGASYS,theophylline,true,mechanism
Theophylline,theophylline,false,
Theophylline,PEGASYS,false,
theophylline,PEGASYS,true,advise
PEGASYS,COPEGUS,false,
PEGASYS,PEGASYS,false,
PEGASYS,ribavirin,false,
COPEGUS,PEGASYS,false,
COPEGUS,ribavirin,false,
Didanosine,COPEGUS,false,
Didanosine,didanosine,false,
COPEGUS,didanosine,true,advise
Stavudine,Zidovudine,false,
Stavudine,Ribavirin,false,
Stavudine,stavudine,false,
Stavudine,zidovudine,false,
Zidovudine,Ribavirin,false,
Zidovudine,stavudine,false,
Zidovudine,zidovudine,false,
Ribavirin,stavudine,true,effect
Ribavirin,zidovudine,true,effect
stavudine,zidovudine,false,
